DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2014-12-03 02:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	9184.70	2017-09-14 04:18:49.049
2014-12-03 03:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	9204.27	2017-09-14 04:18:49.049
2014-12-03 04:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	9483.33	2017-09-14 04:18:49.049
2014-12-03 05:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	10356.82	2017-09-14 04:18:49.049
2014-12-03 06:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	11647.94	2017-09-14 04:18:49.049
2014-12-03 07:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12307.61	2017-09-14 04:18:49.049
2014-12-03 08:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12355.21	2017-09-14 04:18:49.049
2014-12-03 09:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12478.29	2017-09-14 04:18:49.049
2014-12-03 10:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12550.33	2017-09-14 04:18:49.049
2014-12-03 11:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12524.37	2017-09-14 04:18:49.049
2014-12-03 12:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12452.93	2017-09-14 04:18:49.049
2014-12-03 13:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12389.86	2017-09-14 04:18:49.049
2014-12-03 14:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12386.68	2017-09-14 04:18:49.049
2014-12-03 15:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12248.92	2017-09-14 04:18:49.049
2014-12-03 16:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12743.53	2017-09-14 04:18:49.049
2014-12-03 17:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	13078.23	2017-09-14 04:18:49.049
2014-12-03 18:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12585.70	2017-09-14 04:18:49.049
2014-12-03 19:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12041.92	2017-09-14 04:18:49.049
2014-12-03 20:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	11403.65	2017-09-14 04:18:49.049
2014-12-03 21:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	11083.13	2017-09-14 04:18:49.049
2014-12-03 22:00:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	11245.98	2017-09-14 04:18:49.049
2014-12-03 23:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	10416.36	2017-09-14 04:18:49.049
2014-12-04 00:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	9955.53	2017-09-14 04:18:49.049
2014-12-04 01:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	9654.36	2017-09-14 04:18:49.049
2014-12-04 02:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	9527.30	2017-09-14 04:18:49.049
2014-12-04 03:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	9647.15	2017-09-14 04:18:49.049
2014-12-04 04:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	10119.18	2017-09-14 04:18:49.049
2014-12-04 05:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	11445.16	2017-09-14 04:18:49.049
2014-12-04 06:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12498.40	2017-09-14 04:18:49.049
2014-12-04 07:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12499.47	2017-09-14 04:18:49.049
2014-12-04 08:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12648.91	2017-09-14 04:18:49.049
2014-12-04 09:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12681.15	2017-09-14 04:18:49.049
2014-12-04 10:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12803.40	2017-09-14 04:18:49.049
2014-12-04 11:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12494.44	2017-09-14 04:18:49.049
2014-12-04 12:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12524.52	2017-09-14 04:18:49.049
2014-12-04 13:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12419.40	2017-09-14 04:18:49.049
2014-12-04 14:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12399.49	2017-09-14 04:18:49.049
2014-12-04 15:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12508.02	2017-09-14 04:18:49.049
2014-12-04 16:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	13354.63	2017-09-14 04:18:49.049
2014-12-04 17:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	13217.83	2017-09-14 04:18:49.049
2014-12-04 18:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12665.99	2017-09-14 04:18:49.049
2014-12-04 19:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12039.96	2017-09-14 04:18:49.049
2014-12-04 20:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	11513.33	2017-09-14 04:18:49.049
2014-12-04 21:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	11653.20	2017-09-14 04:18:49.049
2014-12-04 22:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	11270.69	2017-09-14 04:18:49.049
2014-12-04 23:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	10545.92	2017-09-14 04:18:49.049
2014-12-04 00:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	9955.53	2017-09-14 04:18:49.049
2014-12-04 01:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	9654.36	2017-09-14 04:18:49.049
2014-12-04 02:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	9527.30	2017-09-14 04:18:49.049
2014-12-04 03:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	9647.15	2017-09-14 04:18:49.049
2014-12-04 04:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	10119.18	2017-09-14 04:18:49.049
2014-12-04 05:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	11445.16	2017-09-14 04:18:49.049
2014-12-04 06:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12498.40	2017-09-14 04:18:49.049
2014-12-04 07:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12499.47	2017-09-14 04:18:49.049
2014-12-04 08:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12648.91	2017-09-14 04:18:49.049
2014-12-04 09:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12681.15	2017-09-14 04:18:49.049
2014-12-04 10:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12803.40	2017-09-14 04:18:49.049
